ST	n
ST14045	1
ST14046	1
ST14047	1
ST14048	1
ST14049	1
ST1405	1
ST14050	1
ST14051	1
ST14052	1
ST14053	1
ST14054	1
ST14055	1
ST14056	1
ST14057	1
ST14058	1
ST14059	1
ST1406	2
ST14060	1
ST14061	1
ST14062	1
ST14063	1
ST14064	3
ST14065	1
ST14066	1
ST14067	1
ST14068	1
ST14069	1
ST14070	1
ST14071	1
ST14072	1
ST14073	1
ST14074	1
ST14077	1
ST1408	2
ST14082	1
ST14084	1
ST14085	1
ST14086	1
ST14087	1
ST14088	1
ST14089	1
ST14090	1
ST14091	1
ST14092	1
ST14093	1
ST14094	1
ST14095	1
ST14096	1
ST14097	1
ST14098	1
ST141	257
ST14100	1
ST14101	1
ST14103	1
ST14104	1
ST14105	2
ST14106	1
ST14108	1
ST14109	1
ST14116	1
ST14117	1
ST14118	1
ST14119	1
ST14137	1
ST14138	1
ST14143	1
ST14144	1
ST14145	1
ST14146	1
ST14147	1
ST14148	1
ST14149	1
ST1415	5
ST14150	2
ST14151	4
ST14152	1
ST14153	2
ST14154	1
ST14155	1
ST14156	1
ST14157	1
ST14158	1
ST14159	1
ST14160	1
ST14161	1
ST14162	1
ST14163	2
ST14164	1
ST14165	1
ST14166	3
ST14168	3
ST14170	1
ST14184	1
ST14185	1
ST14187	1
ST14188	3
ST14189	1
ST14190	1
ST14191	1
ST14192	1
ST14193	1
ST14194	1
ST14195	1
ST14196	1
ST14197	6
ST14198	1
ST14199	1
ST14200	1
ST14201	1
ST14202	1
ST14203	1
ST1421	6
ST1423	6
ST14231	1
ST14232	1
ST14234	1
ST14235	1
ST14236	1
ST14252	1
ST14254	1
ST1426	1
ST14280	1
ST1429	3
ST14290	1
ST1431	28
ST1432	1
ST1434	11
ST14341	1
ST14347	1
ST14360	1
ST14391	1
ST14393	1
ST144	90
ST1441	3
ST1444	3
ST14441	1
ST1458	1
ST1459	2
ST1463	3
ST1480	3
ST1485	12
ST1486	2
ST1487	2
ST1488	1
ST1495	1
ST1508	4
ST1514	1
ST1521	1
ST1531	1
ST154	10
ST155	69
ST1551	1
ST156	56
ST1564	2
ST1585	1
ST1586	1
ST1588	2
ST1594	3
ST1597	8
ST1598	1
ST160	1
ST1610	1
ST1611	8
ST1613	1
ST1615	1
ST1618	3
ST162	130
ST1623	2
ST1629	1
ST1630	3
ST1638	5
ST164	3
ST1640	1
ST1642	6
ST1643	7
ST165	5
ST1652	1
ST1656	1
ST1663	3
ST1665	1
ST1669	1
ST167	333
ST1670	18
ST1673	2
ST1674	3
ST1677	2
ST1684	3
ST1685	2
ST1702	6
ST1709	1
ST1711	1
ST1716	2
ST1717	1
ST1721	1
ST1722	33
ST1723	3
ST1724	1
ST1727	7
ST173	3
ST1735	36
ST1737	1
ST174	1
ST1744	1
ST176	3
ST1777	2
ST1798	2
ST180	1
ST1800	5
ST1808	1
ST181	1
ST1823	1
ST1828	2
ST1844	9
ST1850	2
ST1851	9
ST1858	11
ST1859	35
ST1861	2
ST1867	1
ST1880	1
ST1882	1
ST1884	1
ST1896	1
ST191	3
ST1914	7
ST1938	3
ST1946	15
ST1955	1
ST196	18
ST1972	1
ST1982	1
ST1992	1
ST1993	2
ST1994	3
ST2	2
ST200	5
ST2003	10
ST2005	5
ST2006	6
ST2008	3
ST201	2
ST2011	3
ST2013	6
ST2014	1
ST2015	43
ST2016	1
ST2017	1
ST2020	7
ST2025	2
ST2030	3
ST2035	6
ST2040	9
ST2041	2
ST2042	1
ST205	12
ST206	3
ST2067	1
ST2076	5
ST2077	1
ST2079	4
ST2083	5
ST2085	1
ST209	1
ST210	1
ST2111	1
ST2113	1
ST212	5
ST2125	1
ST2137	1
ST2139	1
ST2141	1
ST2144	5
ST215	2
ST2156	1
ST216	26
ST2161	1
ST2164	1
ST2165	5
ST2166	1
ST2171	2
ST2172	1
ST2173	1
ST2178	10
ST2179	11
ST218	5
ST219	7
ST2200	5
ST2218	1
ST2223	2
ST2227	4
ST223	2
ST224	93
ST2248	4
ST2253	1
ST226	11
ST227	6
ST2279	24
ST2280	4
ST23	70
ST2301	2
ST2307	2
ST2325	4
ST2328	2
ST2329	1
ST2345	2
ST2351	2
ST2354	1
ST2387	2
ST2448	1
ST2449	1
ST2450	6
ST2465	1
ST2473	3
ST2474	3
ST2485	1
ST2486	1
ST2508	1
ST2509	3
ST2520	1
ST2521	7
ST2522	4
ST2526	2
ST2536	1
ST2540	1
ST2541	1
ST2542	1
ST2552	1
ST2554	8
ST2555	2
ST2556	7
ST2557	4
ST2558	10
ST2562	6
ST2563	1
ST2565	1
ST2585	1
ST2590	3
ST2598	2
ST2599	2
ST2601	1
ST2602	1
ST2604	17
ST2612	1
ST2617	1
ST2619	19
ST2622	11
ST2626	3
ST2628	4
ST2659	17
ST2690	1
ST2705	2
ST2711	1
ST2713	2
ST2722	1
ST2723	1
ST2768	1
ST2772	3
ST2773	1
ST2776	1
ST278	2
ST2785	1
ST2787	1
ST2792	1
ST2795	1
ST2797	1
ST2800	2
ST2808	1
ST2811	4
ST2851	7
ST2869	1
ST2870	1
ST2873	1
ST2874	1
ST2876	1
ST2877	1
ST2878	1
ST2879	1
ST2880	1
ST2882	1
ST2883	1
ST2884	1
ST2885	1
ST2886	1
ST2887	1
ST2889	1
ST2890	1
ST2891	1
ST2928	1
ST295	9
ST2952	2
ST2954	1
ST2958	1
ST2959	1
ST2964	1
ST2967	1
ST297	74
ST2973	7
ST3014	2
ST3018	5
ST3021	1
ST3033	1
ST3045	3
ST3056	1
ST3057	4
ST3058	2
ST3076	1
ST3090	2
ST31	5
ST3101	2
ST3103	1
ST3107	1
ST315	9
ST316	2
ST3167	1
ST3171	2
ST3177	1
ST3205	1
ST321	2
ST3232	1
ST3246	2
ST3249	2
ST3268	1
ST3270	1
ST3300	1
ST3301	1
ST3304	1
ST3352	1
ST336	2
ST34	24
ST3405	1
ST345	15
ST348	10
ST3489	3
ST349	95
ST350	10
ST351	4
ST3519	1
ST3520	1
ST354	92
ST3541	1
ST355	30
ST3559	1
ST357	56
ST3572	3
ST358	1
ST3580	20
ST3589	1
ST359	9
ST3593	5
ST3594	2
ST3595	1
ST360	1
ST3601	5
ST361	88
ST362	70
ST363	16
ST3640	1
ST366	1
ST367	4
ST3672	7
