ST	n
ST11546	2
ST1155	10
ST11553	1
ST1156	2
ST11565	1
ST11566	1
ST11568	3
ST11569	1
ST1157	14
ST11570	1
ST11571	1
ST11572	1
ST11573	1
ST11574	2
ST11575	2
ST11576	1
ST11578	3
ST1158	48
ST11580	4
ST11582	1
ST11585	2
ST11586	1
ST11587	1
ST11588	1
ST11589	1
ST1159	53
ST11590	2
ST11592	1
ST11593	1
ST11594	2
ST11595	1
ST11596	2
ST11597	1
ST11598	1
ST11599	2
ST11600	1
ST11602	1
ST11603	1
ST11604	3
ST11605	1
ST1161	21
ST11611	1
ST11612	1
ST11613	2
ST11616	1
ST11617	1
ST11618	1
ST11619	1
ST1162	6
ST11620	1
ST11621	1
ST11624	1
ST11626	1
ST11627	1
ST11628	1
ST11629	2
ST1163	46
ST11630	1
ST11631	1
ST11632	2
ST11633	1
ST11635	2
ST11636	1
ST11637	2
ST11638	1
ST11655	3
ST11657	1
ST11658	1
ST11659	2
ST11660	2
ST11661	3
ST11663	1
ST11664	3
ST11666	1
ST11667	7
ST11668	3
ST11669	3
ST1167	28
ST11672	6
ST11679	3
ST11681	3
ST11682	1
ST11683	4
ST11684	1
ST11685	4
ST11688	1
ST11690	1
ST11692	1
ST117	1909
ST1170	44
ST11702	1
ST11703	1
ST11704	1
ST11705	2
ST11707	6
ST11708	3
ST11710	1
ST11711	1
ST11713	1
ST11714	1
ST11715	1
ST11716	1
ST11717	1
ST11718	1
ST11719	1
ST1172	12
ST11720	1
ST11722	1
ST11723	1
ST11724	1
ST11725	1
ST11726	1
ST11727	1
ST11729	10
ST11730	1
ST11731	1
ST11732	2
ST11734	1
ST11735	1
ST11736	1
ST11737	1
ST11738	2
ST11739	1
ST11740	1
ST11741	4
ST11742	3
ST11749	1
ST11757	1
ST11758	1
ST11759	1
ST1176	43
ST11760	1
ST11761	1
ST11762	1
ST11763	1
ST11764	2
ST11765	1
ST11766	1
ST11767	3
ST11768	3
ST11769	1
ST1177	34
ST11770	1
ST11771	2
ST11772	1
ST11773	1
ST11774	1
ST11776	1
ST11777	2
ST1178	35
ST11780	2
ST11793	2
ST11796	1
ST11797	1
ST118	30
ST11800	1
ST11801	1
ST11802	1
ST11804	2
ST11806	1
ST11807	2
ST11809	2
ST11810	1
ST11811	1
ST11813	1
ST11817	9
ST11827	1
ST11833	1
ST11834	1
ST11835	1
ST11836	1
ST11837	1
ST11838	1
ST11839	1
ST11840	2
ST11841	1
ST11842	1
ST11843	2
ST11844	1
ST11845	1
ST11846	1
ST11847	1
ST11848	2
ST11849	1
ST11850	1
ST11851	2
ST11852	1
ST11853	1
ST11854	1
ST11855	2
ST11856	1
ST11858	1
ST11859	1
ST11860	1
ST11861	1
ST11866	1
ST11867	1
ST11875	1
ST11885	1
ST11887	1
ST11890	1
ST11892	1
ST11893	1
ST11894	2
ST11895	1
ST11899	1
ST119	123
ST11904	1
ST11905	2
ST11906	1
ST11907	1
ST11908	1
ST11909	1
ST11913	1
ST11915	1
ST11922	1
ST11923	1
ST11924	1
ST11927	1
ST11928	1
ST11929	1
ST1193	1190
ST11930	1
ST11931	1
ST11932	1
ST11933	2
ST11935	1
ST11936	2
ST11937	1
ST11939	1
ST11940	2
ST11941	1
ST11942	3
ST11943	1
ST11950	2
ST11951	1
ST11952	1
ST11954	2
ST11955	1
ST11958	2
ST1196	172
ST11964	1
ST11965	1
ST11966	1
ST11967	1
ST11968	1
ST11969	1
ST11970	3
ST11972	1
ST11974	2
ST11975	1
ST11976	1
ST11977	1
ST11978	1
ST11979	2
ST1198	1
ST11980	1
ST11981	1
ST11982	1
ST11983	1
ST11984	1
ST11986	1
ST11987	3
ST11990	1
ST11991	13
ST11993	1
ST11997	14
ST12	834
ST120	35
ST12003	2
ST12004	1
ST12005	1
ST12006	1
ST1201	37
ST12013	1
ST12014	1
ST12015	1
ST12016	1
ST12017	1
ST12018	1
ST12019	1
ST1202	2
ST12020	1
ST12021	1
ST12022	1
ST12023	1
ST12024	1
ST12025	1
ST12028	2
ST12034	1
ST12035	1
ST12036	1
ST12037	1
ST1204	32
ST12040	1
ST12041	1
ST12042	1
ST12043	1
ST12044	4
ST12045	1
ST12047	1
ST1205	25
ST12052	1
ST12053	1
ST12054	2
ST12055	2
ST12056	1
ST12057	2
ST12058	1
ST12059	1
ST12060	1
ST12065	1
ST12066	3
ST12067	1
ST12068	1
ST12069	1
ST12070	1
ST12071	1
ST12072	1
ST12073	1
ST12076	1
ST12077	1
ST12079	1
ST12080	1
ST12081	1
ST12084	1
ST12085	1
ST12086	1
ST12087	1
ST12088	4
ST12089	1
ST12090	2
ST12091	1
ST12092	1
ST12093	1
ST12094	1
ST12095	7
ST12096	2
ST12097	1
ST12098	1
ST121	43
ST12100	2
ST12101	1
ST12102	1
ST12103	1
ST12104	1
ST12105	1
ST12107	2
ST12108	1
ST12109	1
ST12110	1
ST12111	1
ST12112	1
ST12113	1
ST12114	3
ST12115	1
ST12116	1
ST12117	1
ST12118	1
ST12119	2
ST12120	1
ST12121	1
ST12122	1
ST12123	1
ST12124	1
ST12126	5
ST12127	1
ST12128	1
ST12129	1
ST12130	1
ST12131	1
ST12132	1
ST12133	1
ST12134	1
ST12135	1
ST12136	1
ST12137	1
ST12138	2
ST12139	1
ST12140	1
ST12141	1
ST12142	1
ST12143	1
ST12144	1
ST12145	1
ST12146	1
ST12147	1
ST12148	1
ST12149	1
ST1215	1
ST12150	1
ST12151	1
ST12152	1
ST12154	1
ST12155	2
ST12156	1
ST12157	2
ST12158	1
ST12159	2
ST12160	1
ST12161	2
ST12163	1
ST12165	2
ST12166	1
ST12167	2
ST12168	1
ST12169	7
ST12170	1
ST12171	3
ST12172	1
ST12173	1
ST12174	1
ST12175	1
ST12176	2
ST12177	2
ST12178	1
ST12179	2
ST1218	2
ST12180	2
ST12181	3
ST12182	1
ST12183	1
ST12184	2
ST12185	2
ST12186	1
ST12187	1
ST12188	1
ST12189	1
ST1219	3
ST12190	1
ST12191	1
ST12192	1
ST12193	1
ST12195	1
ST12196	2
ST12197	3
ST12198	1
ST12199	1
ST122	17
ST1220	1
ST12200	1
ST12202	3
ST12203	2
ST12206	1
ST12207	1
ST12208	1
ST12209	1
ST12210	1
ST12211	2
ST12212	3
ST12213	1
ST12214	1
ST12215	2
ST12216	1
ST12217	1
ST12220	1
ST12221	2
ST12222	1
ST12224	3
ST12225	1
ST12226	1
ST12227	1
ST12228	1
ST12229	2
ST12230	1
ST12235	1
ST12236	2
ST12237	1
ST12238	1
ST12239	1
ST12240	1
ST12241	1
ST12244	5
ST12246	1
ST12248	1
ST12249	1
ST1225	1
ST12250	1
ST12251	1
ST12252	1
ST12253	1
ST12254	2
ST12255	1
ST12256	1
ST12257	3
ST12258	1
ST12259	1
ST12260	1
ST12261	1
ST12262	1
ST12263	1
ST12264	1
ST12265	1
ST12266	1
ST12267	1
ST12268	1
ST12269	1
ST12270	1
ST12271	3
